ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Transcription,AlternativeValue,AlternativeTranscription
voro1241-10-830-3,,voro1241,10-830,loodsik;veneq;vineq;klötś;irbus,vineq,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-830-4,,voro1241,10-830,loodsik;veneq;vineq;klötś;irbus,klötś,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-830-5,,voro1241,10-830,loodsik;veneq;vineq;klötś;irbus,irbus,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-831-1,,voro1241,10-831,süst;tsolohkloodsik;tsolo;kanuu,süst,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-831-2,,voro1241,10-831,süst;tsolohkloodsik;tsolo;kanuu,tsolohkloodsik,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-831-3,,voro1241,10-831,süst;tsolohkloodsik;tsolo;kanuu,tsolo,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-831-4,,voro1241,10-831,süst;tsolohkloodsik;tsolo;kanuu,kanuu,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-832-1,,voro1241,10-832,pardaväline tugivärk,pardaväline tugivärk,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-840-1,,voro1241,10-840,parv́,parv́,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-850-1,,voro1241,10-850,mõla;air,mõla,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-850-2,,voro1241,10-850,mõla;air,air,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-851-1,,voro1241,10-851,mõla,mõla,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-852-1,,voro1241,10-852,sõudma;huupama;tõmbama,sõudma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-852-2,,voro1241,10-852,sõudma;huupama;tõmbama,huupama,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-852-3,,voro1241,10-852,sõudma;huupama;tõmbama,tõmbama,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-860-1,,voro1241,10-860,tüüŕ;sopits;peromõla;ruuĺ,tüüŕ,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-860-2,,voro1241,10-860,tüüŕ;sopits;peromõla;ruuĺ,sopits,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-860-3,,voro1241,10-860,tüüŕ;sopits;peromõla;ruuĺ,peromõla,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-860-4,,voro1241,10-860,tüüŕ;sopits;peromõla;ruuĺ,ruuĺ,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-870-1,,voro1241,10-870,mast́,mast́,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-880-1,,voro1241,10-880,puŕo;puri,puŕo,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-880-2,,voro1241,10-880,puŕo;puri,puri,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-890-1,,voro1241,10-890,ankru;ankri,ankru,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-890-2,,voro1241,10-890,ankru;ankri,ankri,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-910-1,,voro1241,10-910,sataḿ,sataḿ,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-920-1,,voro1241,10-920,maa pääle;maalõ tulõma;viirde joudma;viirde sõitma;viirde tulõma,maa pääle,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-920-2,,voro1241,10-920,maa pääle;maalõ tulõma;viirde joudma;viirde sõitma;viirde tulõma,maalõ tulõma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-920-3,,voro1241,10-920,maa pääle;maalõ tulõma;viirde joudma;viirde sõitma;viirde tulõma,viirde joudma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-920-4,,voro1241,10-920,maa pääle;maalõ tulõma;viirde joudma;viirde sõitma;viirde tulõma,viirde sõitma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-920-5,,voro1241,10-920,maa pääle;maalõ tulõma;viirde joudma;viirde sõitma;viirde tulõma,viirde tulõma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-110-1,,voro1241,11-110,kinkalgiq olõma;umas pidämä,kinkalgiq olõma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-110-2,,voro1241,11-110,kinkalgiq olõma;umas pidämä,umas pidämä,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-120-1,,voro1241,11-120,olõma kinkalgiq,olõma kinkalgiq,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-130-1,,voro1241,11-130,võtma,võtma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-140-1,,voro1241,11-140,haardma;habima,haardma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-140-2,,voro1241,11-140,haardma;habima,habima,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-150-1,,voro1241,11-150,hoitma;armitsõma;pidämä,hoitma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-150-2,,voro1241,11-150,hoitma;armitsõma;pidämä,armitsõma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-150-3,,voro1241,11-150,hoitma;armitsõma;pidämä,pidämä,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-160-1,,voro1241,11-160,saama,saama,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-170-1,,voro1241,11-170,kätte saama;kätte võitma;hoitma,kätte saama,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-170-2,,voro1241,11-170,kätte saama;kätte võitma;hoitma,kätte võitma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-170-3,,voro1241,11-170,kätte saama;kätte võitma;hoitma,hoitma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-180-1,,voro1241,11-180,asi,asi,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-210-1,,voro1241,11-210,andma,andma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-220-1,,voro1241,11-220,tagasi andma,tagasi andma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-240-1,,voro1241,11-240,hoitma,hoitma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-250-1,,voro1241,11-250,ärq pästmä;vabas pästmä;vallalõ pästmä;vabas tegemä;vallalõ tegemä;vabastama,ärq pästmä,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-250-2,,voro1241,11-250,ärq pästmä;vabas pästmä;vallalõ pästmä;vabas tegemä;vallalõ tegemä;vabastama,vabas pästmä,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-250-3,,voro1241,11-250,ärq pästmä;vabas pästmä;vallalõ pästmä;vabas tegemä;vallalõ tegemä;vabastama,vallalõ pästmä,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-250-4,,voro1241,11-250,ärq pästmä;vabas pästmä;vallalõ pästmä;vabas tegemä;vallalõ tegemä;vabastama,vabas tegemä,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-250-5,,voro1241,11-250,ärq pästmä;vabas pästmä;vallalõ pästmä;vabas tegemä;vallalõ tegemä;vabastama,vallalõ tegemä,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-250-6,,voro1241,11-250,ärq pästmä;vabas pästmä;vallalõ pästmä;vabas tegemä;vallalõ tegemä;vabastama,vabastama,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-270-1,,voro1241,11-270,ärq häötämä;häötellemä;lahkma;purus tegemä;katśki tegemä,ärq häötämä,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-270-2,,voro1241,11-270,ärq häötämä;häötellemä;lahkma;purus tegemä;katśki tegemä,häötellemä,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-270-3,,voro1241,11-270,ärq häötämä;häötellemä;lahkma;purus tegemä;katśki tegemä,lahkma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-270-4,,voro1241,11-270,ärq häötämä;häötellemä;lahkma;purus tegemä;katśki tegemä,purus tegemä,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-270-5,,voro1241,11-270,ärq häötämä;häötellemä;lahkma;purus tegemä;katśki tegemä,katśki tegemä,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-280-1,,voro1241,11-280,kurja tegemä;halva tegemä;hätä tegemä,kurja tegemä,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-280-2,,voro1241,11-280,kurja tegemä;halva tegemä;hätä tegemä,halva tegemä,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-280-3,,voro1241,11-280,kurja tegemä;halva tegemä;hätä tegemä,hätä tegemä,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-310-1,,voro1241,11-310,otśma,otśma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-320-1,,voro1241,11-320,löüdmä;leüdmä,löüdmä,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-320-2,,voro1241,11-320,löüdmä;leüdmä,leüdmä,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-330-1,,voro1241,11-330,ärq kaotama;soorutama,ärq kaotama,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-330-2,,voro1241,11-330,ärq kaotama;soorutama,soorutama,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-340-1,,voro1241,11-340,vabas pästmä;priis laskma;priis tegemä,vabas pästmä,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-340-2,,voro1241,11-340,vabas pästmä;priis laskma;priis tegemä,priis laskma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-340-3,,voro1241,11-340,vabas pästmä;priis laskma;priis tegemä,priis tegemä,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-430-1,,voro1241,11-430,raha;nauď,raha,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-430-2,,voro1241,11-430,raha;nauď,nauď,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-440-1,,voro1241,11-440,raudraha;rahatükk,raudraha,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-440-2,,voro1241,11-440,raudraha;rahatükk,rahatükk,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-510-1,,voro1241,11-510,rikas,rikas,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-520-1,,voro1241,11-520,vaenõ;kehv;tühäline;kitsas,vaenõ,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-520-2,,voro1241,11-520,vaenõ;kehv;tühäline;kitsas,kehv,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-520-3,,voro1241,11-520,vaenõ;kehv;tühäline;kitsas,tühäline,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-520-4,,voro1241,11-520,vaenõ;kehv;tühäline;kitsas,kitsas,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-530-1,,voro1241,11-530,sant́;kerjäk;kerjäi;keriläne;sandinõ;hõel,sant́,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-530-2,,voro1241,11-530,sant́;kerjäk;kerjäi;keriläne;sandinõ;hõel,kerjäk,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-530-3,,voro1241,11-530,sant́;kerjäk;kerjäi;keriläne;sandinõ;hõel,kerjäi,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-530-4,,voro1241,11-530,sant́;kerjäk;kerjäi;keriläne;sandinõ;hõel,keriläne,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-530-5,,voro1241,11-530,sant́;kerjäk;kerjäi;keriläne;sandinõ;hõel,sandinõ,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-530-6,,voro1241,11-530,sant́;kerjäk;kerjäi;keriläne;sandinõ;hõel,hõel,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-540-1,,voro1241,11-540,ahnõq;ahnik,ahnõq,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-540-2,,voro1241,11-540,ahnõq;ahnik,ahnik,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-610-1,,voro1241,11-610,lainama;võlgo andma;lainu andma;lainus andma,lainama,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-610-2,,voro1241,11-610,lainama;võlgo andma;lainu andma;lainus andma,võlgo andma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-610-3,,voro1241,11-610,lainama;võlgo andma;lainu andma;lainus andma,lainu andma,,,cosgrove2020,,,,,StandardOrth,,
